epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2865,1.6347,5.75617,0.0058,0.00292,0.27817,0.0106,0.00143,1.1585,4.83237,0.00485,0.00031673,0.00031673,0.00031673
2,5.6755,1.52104,4.4117,0.0049,0.04756,0.85865,0.46511,0.30198,1.08986,4.24527,0.00448,0.000647985,0.000647985,0.000647985
3,7.96652,1.47527,3.88056,0.00487,0.03986,0.9507,0.6383,0.41946,1.16372,3.85235,0.00493,0.000977039,0.000977039,0.000977039
4,10.2435,1.61673,3.62665,0.00527,0.76597,0.36396,0.66081,0.39068,1.44745,3.50975,0.00628,0.00130389,0.00130389,0.00130389
5,12.549,1.56945,3.63024,0.00581,0.63692,0.49374,0.58869,0.31643,1.5478,3.00063,0.0067,0.00162855,0.00162855,0.00162855
6,14.8135,1.39615,3.07777,0.00478,0.65537,0.54728,0.64413,0.36001,1.54865,2.8452,0.00668,0.00163949,0.00163949,0.00163949
7,17.0055,1.4417,2.9277,0.00521,0.88395,0.58031,0.75411,0.42489,1.5755,2.47484,0.007,0.00163399,0.00163399,0.00163399
8,19.1755,1.43847,2.69145,0.00497,0.76932,0.7671,0.81862,0.45164,1.75038,2.24146,0.00747,0.00162849,0.00162849,0.00162849
9,21.379,1.4771,2.49983,0.00497,0.72058,0.79237,0.80788,0.47742,1.64667,2.11024,0.00722,0.00162299,0.00162299,0.00162299
10,23.5515,1.43079,2.387,0.00481,0.76281,0.67404,0.76404,0.4492,1.52671,1.99047,0.00666,0.00161749,0.00161749,0.00161749
11,25.7695,1.43349,2.21936,0.00488,0.78558,0.68813,0.80938,0.51193,1.51776,1.94327,0.00659,0.00161199,0.00161199,0.00161199
12,28.0195,1.39228,2.1261,0.00474,0.77915,0.63149,0.77293,0.50302,1.38204,2.21997,0.00606,0.00160649,0.00160649,0.00160649
13,30.2606,1.39859,2.03366,0.00513,0.86977,0.64561,0.80702,0.51731,1.43106,1.8977,0.00615,0.00160099,0.00160099,0.00160099
14,32.4056,1.40981,1.81556,0.00471,0.81767,0.67266,0.80845,0.45121,1.69418,1.69133,0.00717,0.00159549,0.00159549,0.00159549
15,34.5431,1.46967,1.80749,0.00464,0.63526,0.79577,0.81845,0.44993,1.69504,1.66643,0.0073,0.00158998,0.00158998,0.00158998
16,36.7721,1.43439,1.70899,0.00502,0.78113,0.70721,0.75466,0.4212,1.6367,1.59487,0.00705,0.00158448,0.00158448,0.00158448
17,38.9422,1.32926,1.58118,0.00513,0.88951,0.67505,0.86774,0.53908,1.46123,1.44416,0.00638,0.00157898,0.00157898,0.00157898
18,41.1332,1.41654,1.56753,0.00491,0.84733,0.76761,0.87274,0.54824,1.43076,1.42321,0.00613,0.00157348,0.00157348,0.00157348
19,43.3302,1.43574,1.54055,0.00465,0.68932,0.80231,0.85885,0.51711,1.50663,1.27397,0.00647,0.00156798,0.00156798,0.00156798
